ID,Název,Zeměpisná šířka,Zeměpisná délka
2355,Altenberg,,Bahnhof,50.7662544,13.7543278
2355,Altenberg,,Bahnhof,0.0,0.0
2354,Altenberg,,Pl des Bergmanns,50.7633858,13.7608328
2354,Altenberg,,Pl des Bergmanns,0.0,0.0
2353,Altenberg,,Zinnwalder Strasse,50.7571754,13.7637262
2353,Altenberg,,Zinnwalder Strasse,0.0,0.0
2319,Amtshainersdorf,50.966198,14.23226
2319,Amtshainersdorf,50.966198,14.23226
3006,Andělská Hora,chaty,50.20704,12.9445686
3006,Andělská Hora,chaty,50.20704,12.9445686
3007,Andělská Hora,dolní obec,50.20704,12.9445686
3007,Andělská Hora,dolní obec,50.2080421,12.9553576
3008,Andělská Hora,horní obec,50.2047958,12.9607067
3008,Andělská Hora,horní obec,50.2042961,12.96137
3009,Andělská Hora,rozc.,50.2002869,12.9600191
3009,Andělská Hora,rozc.,50.2004471,12.9601526
1,Annaberg-Buchholz,Bahnhofstr.,50.5741768,13.0025568
1,Annaberg-Buchholz,Bahnhofstr.,0.0,0.0
2,Annaberg-Buchholz,Busbahnhof,50.58378,13.0091257
3,Annaberg-Buchholz,Gerisch Ruh,50.5829926,13.0042095
3,Annaberg-Buchholz,Gerisch Ruh,50.5830727,13.004261
4,Annaberg-Buchholz,RVE,50.584404,13.0127106
5,Annaberg-Buchholz,Turnhalle,50.56578,13.0082
5,Annaberg-Buchholz,Turnhalle,50.5657425,13.0081758
6,Annaberg-Buchholz,Unterer Bahnhof,50.57717,12.9994287
6,Annaberg-Buchholz,Unterer Bahnhof,50.5771523,12.999361
8,Arnoltice,50.83669,14.2636852
8,Arnoltice,50.8366966,14.2636967
7,Arnoltice,u Pajonků,50.8484764,14.2375126
7,Arnoltice,u Pajonků,50.84853,14.2375145
2320,Bad Schandau,50.9186,14.1394873
2320,Bad Schandau,50.9186,14.1394873
3156,Bad Schandau, Elbkai,0.0,0.0
2833,Bad Schandau, Postelwitz (Krippen),0.0,0.0
2320,Bad Schandau,Bahnhof (stanoviště 4),50.9186,14.1394873
2320,Bad Schandau,přístaviště Stadt,50.9165649,14.1520691
10,Bahratal,ZOLL,0.0,0.0
9,Bahratal,grenzübergang,50.8154449,13.98154
2039,Bakov n.Jizerou,0.0,0.0
2039,Bakov nad Jizerou,0.0,0.0
2369,Bannewitz,,Windbergstrasse,0.0,0.0
2369,Bannewitz,,Windbergstrasse,0.0,0.0
19,Bechlín,ObÚ,50.4164276,14.3405724
19,Bechlín,ObÚ,50.4162941,14.3414249
19,Bechlín,ObÚ,50.41595,14.3401928
18,Bechlín,Předonín,50.43753,14.3326063
18,Bechlín,Předonín,50.4376373,14.3325691
2577,Bechlín,Předonín,košíkárna,50.4377975,14.3187208
2577,Bechlín,Předonín,košíkárna,50.43784,14.31847
2578,Bechlín,Předonín,vinice,50.42932,14.3376455
2578,Bechlín,Předonín,vinice,50.42924,14.3375912
20,Bechlín,u Čtvrtečků,50.41996,14.3392658
20,Bechlín,u Čtvrtečků,50.4201965,14.3393841
24,Benešov n.Pl.,Bedřichov záv.,50.72939,14.3162041
24,Benešov n.Pl.,Bedřichov záv.,50.729454,14.3162909
26,Benešov n.Pl.,Pod parkem,50.7414742,14.3058615
25,Benešov n.Pl.,nám.,50.7414932,14.3112059
25,Benešov n.Pl.,nám.,50.7415543,14.3110342
25,Benešov n.Pl.,nám.,50.7412376,14.3110638
27,Benešov n.Pl.,rozc.Heřmanov,50.7330971,14.310173
27,Benešov n.Pl.,rozc.Heřmanov,50.733223,14.31026
27,Benešov n.Pl.,rozc.Heřmanov,50.7338333,14.3096542
27,Benešov n.Pl.,rozc.Heřmanov,50.7337265,14.3095913
28,Benešov n.Pl.,u čerp.st.,50.7412,14.2942219
28,Benešov n.Pl.,u čerp.st.,50.74142,14.2943735
29,Benešov n.Pl.,záv.I,50.74091,14.3018074
29,Benešov n.Pl.,záv.I,50.7409821,14.300993
30,Benešov n.Pl.,žel.st.,50.739048,14.3090248
30,Benešov nad Ploučnicí,50.73835,14.3050718
30,Benešov nad Ploučnicí,50.73835,14.3050718
2042,Bezděz,50.51606,14.7293968
2042,Bezděz,50.51606,14.7293968
15,Bečov,50.44917,13.7177124
15,Bečov,50.449,13.7175522
2040,Bečov u Mostu,50.4566078,13.7117558
2040,Bečov u Mostu,50.4566078,13.7117558
2671,Beřovice,Bakov,50.2651672,14.0955248
2671,Beřovice,Bakov,50.2578773,14.0967188
47,Bitozeves,50.37291,13.6406946
47,Bitozeves,50.37285,13.6405382
47,Bitozeves,50.37291,13.6402254
42,Bitozeves,Nehasice,50.3848419,13.59791
43,Bitozeves,Tatinná,50.3811569,13.6070547
43,Bitozeves,Tatinná,50.38131,13.6070061
2597,Bitozeves,Triangle-sever III,50.37502,13.59759
2597,Bitozeves,Triangle-sever III,50.3752136,13.5971241
2932,Bitozeves,Triangle-střed,50.3765068,13.5856924
2932,Bitozeves,Triangle-střed,50.37689,13.5861578
46,Bitozeves,Triangle-východ,50.36969,13.6096783
46,Bitozeves,Triangle-východ,50.36949,13.6093979
44,Bitozeves,Vidovle,50.3893967,13.6477041
44,Bitozeves,Vidovle,50.3893852,13.6475649
45,Bitozeves,škola,50.3749466,13.6460781
45,Bitozeves,škola,50.3750763,13.6458206
49,Blahuňov,rozc.1.0,50.4422,13.3030224
49,Blahuňov,rozc.1.0,50.4420166,13.303194
49,Blahuňov,rozc.1.0,50.44239,13.3029337
54,Blatno,50.50954,13.3602676
54,Blatno,50.50957,13.3599043
55,Blatno,50.09686,13.3896551
55,Blatno,50.09683,13.38939
53,Blatno u Jesenice,50.1000481,13.3899775
53,Blatno u Jesenice,50.1000481,13.3899775
2617,Blatno u Jesenice hr. VÚSC,0.0,0.0
50,Blatno,Malměřice,50.1160469,13.385807
50,Blatno,Malměřice,50.11613,13.3858576
51,Blatno,Nový dům rozc.,50.54522,13.3337679
